phen1,phen2,rho,rho.lower,rho.upper,r2,r2.lower,r2.upper,p,LOC
SLE_Discovery,SLE_Replication,-0.180682,-1,0.52057,0.032646,0,1,0.556251,841
SLE_Discovery,SLE_Replication,0.754733,-0.01196,1,0.569623,0,1,0.0523166,849
SLE_Discovery,SLE_Replication,0.0127593,-0.71942,0.7144,0.000162801,0,0.75468,0.964651,861
SLE_Discovery,SLE_Replication,0.491759,-0.02358,1,0.241827,0,1,0.064182,863
SLE_Discovery,SLE_Replication,0.238859,-0.28103,0.85107,0.0570536,0,0.73276,0.331876,864
SLE_Discovery,SLE_Replication,-0.506796,-1,0.31365,0.256842,0,1,0.187073,865
SLE_Discovery,SLE_Replication,0.0117371,-0.59907,0.64919,0.00013776,0,0.5979,0.964022,872
SLE_Discovery,SLE_Replication,-0.424775,-1,0.29443,0.180434,0,1,0.21812,873
SLE_Discovery,SLE_Replication,-0.273893,-0.77131,0.15367,0.0750174,0,0.59537,0.193779,881
SLE_Discovery,SLE_Replication,0.0218415,-0.35459,0.41796,0.00047705,0,0.19883,0.906156,888
SLE_Discovery,SLE_Replication,-0.0427307,-1,0.9226,0.00182591,0,1,0.903318,893
SLE_Discovery,SLE_Replication,-0.340416,-1,0.23943,0.115883,0,1,0.226389,894
SLE_Discovery,SLE_Replication,0.413331,0.01751,0.89685,0.170842,0.00279,0.80434,0.0435492,897
SLE_Discovery,SLE_Replication,0.291516,-0.02938,0.65983,0.0849813,0,0.43538,0.0718114,899
SLE_Discovery,SLE_Replication,0.646116,-0.00979,1,0.417466,0,1,0.0534734,903
SLE_Discovery,SLE_Replication,0.824343,0.29792,1,0.679541,0.08875,1,0.00459923,906
SLE_Discovery,SLE_Replication,0.263138,-0.05997,0.60246,0.0692415,0,0.36296,0.104608,908
SLE_Discovery,SLE_Replication,0.359474,0.00208,0.8469,0.129221,0.00159,0.71724,0.0603664,909
SLE_Discovery,SLE_Replication,-0.741744,-1,-0.14457,0.550185,0.0273,1,0.0209798,910
SLE_Discovery,SLE_Replication,-0.103801,-0.46834,0.24571,0.0107747,0,0.22138,0.548016,915
SLE_Discovery,SLE_Replication,0.0768056,-0.32414,0.49274,0.00589911,0,0.25834,0.688516,916
SLE_Discovery,SLE_Replication,-0.481995,-1,0.32629,0.232319,0,1,0.197192,917
SLE_Discovery,SLE_Replication,-0.106135,-0.56064,0.3366,0.0112647,0,0.33461,0.613442,918
SLE_Discovery,SLE_Replication,0.494677,0.11434,0.98519,0.244705,0.01432,0.97061,0.0130065,920
SLE_Discovery,SLE_Replication,0.429113,-0.28106,1,0.184138,0,1,0.210753,921
SLE_Discovery,SLE_Replication,0.546924,0.07221,1,0.299125,0.0077,1,0.0306473,923
SLE_Discovery,SLE_Replication,0.488365,-0.02989,1,0.2385,0,1,0.0649876,924
SLE_Discovery,SLE_Replication,0.0814269,-0.25724,0.4282,0.00663034,0,0.19072,0.623104,926
SLE_Discovery,SLE_Replication,0.292886,-0.08471,0.72622,0.0857822,0,0.52739,0.122966,927
SLE_Discovery,SLE_Replication,0.397707,-0.00746,0.90231,0.158171,0,0.81416,0.0557007,928
SLE_Discovery,SLE_Replication,0.239234,-0.17835,0.72346,0.0572328,0,0.52561,0.248363,929
SLE_Discovery,SLE_Replication,0.249534,-0.22629,0.85344,0.0622673,0,0.73558,0.289569,931
SLE_Discovery,SLE_Replication,-0.0111902,-0.41008,0.37765,0.00012522,0,0.20879,0.952817,932
SLE_Discovery,SLE_Replication,-0.149553,-0.78505,0.41297,0.022366,0,0.64242,0.559562,934
SLE_Discovery,SLE_Replication,-0.00934498,-0.6676,0.66372,8.73286e-05,0,0.65921,0.973262,936
SLE_Discovery,SLE_Replication,0.0587046,-0.32602,0.45383,0.00344623,0,0.2236,0.758897,937
SLE_Discovery,SLE_Replication,-0.077488,-0.70452,0.51135,0.00600439,0,0.56777,0.766389,938
