source	term_id	term_name	p_value	intersection_size	query_size	log_pval	overlap_ratio	term_clean
GO:BP	GO:0050671	positive regulation of lymphocyte proliferation	0.00933043725406875	3	28	2.03009800335108	10.7142857142857	positive regulation of lymphocyte proliferation
GO:BP	GO:0070661	leukocyte proliferation	0.00933043725406875	4	28	2.03009800335108	14.2857142857143	leukocyte proliferation
GO:BP	GO:0002821	positive regulation of adaptive immune response	0.00933043725406875	3	28	2.03009800335108	10.7142857142857	positive regulation of adaptive immune response
GO:BP	GO:0071495	cellular response to endogenous stimulus	0.00933043725406875	7	28	2.03009800335108	25	cellular response to endogenous stimulus
GO:BP	GO:0065007	biological regulation	0.00943436615062995	26	28	2.02528727266183	92.8571428571429	biological regulation
GO:BP	GO:0032946	positive regulation of mononuclear cell proliferation	0.00943436615062995	3	28	2.02528727266183	10.7142857142857	positive regulation of mononuclear cell proliferation
GO:BP	GO:0032814	regulation of natural killer cell activation	0.00943436615062995	2	28	2.02528727266183	7.14285714285714	regulation of natural killer cell activation
GO:BP	GO:0042110	T cell activation	0.00973071815081568	5	28	2.01185510655312	17.8571428571429	T cell activation
GO:BP	GO:0007166	cell surface receptor signaling pathway	0.00976925773274363	11	28	2.01013843268038	39.2857142857143	cell surface receptor signaling pathway
GO:BP	GO:0010556	regulation of macromolecule biosynthetic process	0.00976925773274363	16	28	2.01013843268038	57.1428571428571	regulation of macromolecule biosynthetic process
GO:BP	GO:0007155	cell adhesion	0.00976925773274363	8	28	2.01013843268038	28.5714285714286	cell adhesion
GO:BP	GO:0002694	regulation of leukocyte activation	0.00976925773274363	5	28	2.01013843268038	17.8571428571429	regulation of leukocyte activation
GO:BP	GO:0002757	immune response-activating signaling pathway	0.00976925773274363	5	28	2.01013843268038	17.8571428571429	immune response-activating signaling pathway
GO:BP	GO:0051250	negative regulation of lymphocyte activation	0.0105067691243567	3	28	1.97853081082038	10.7142857142857	negative regulation of lymphocyte activation
GO:BP	GO:0002705	positive regulation of leukocyte mediated immunity	0.0114315616266378	3	28	1.9418944380644	10.7142857142857	positive regulation of leukocyte mediated immunity
GO:BP	GO:0001909	leukocyte mediated cytotoxicity	0.0114315616266378	3	28	1.9418944380644	10.7142857142857	leukocyte mediated cytotoxicity
GO:BP	GO:0032479	regulation of type I interferon production	0.0114315616266378	3	28	1.9418944380644	10.7142857142857	regulation of type I interferon production
GO:BP	GO:0050731	positive regulation of peptidyl-tyrosine phosphorylation	0.0114315616266378	3	28	1.9418944380644	10.7142857142857	positive regulation of peptidyl-tyrosine phosphorylation
GO:BP	GO:0032606	type I interferon production	0.0114315616266378	3	28	1.9418944380644	10.7142857142857	type I interferon production
GO:BP	GO:0046640	regulation of alpha-beta T cell proliferation	0.0114488255407546	2	28	1.94123906243593	7.14285714285714	regulation of alpha-beta T cell proliferation
GO:BP	GO:0022409	positive regulation of cell-cell adhesion	0.0117046836215984	4	28	1.93164032081836	14.2857142857143	positive regulation of cell-cell adhesion
GO:BP	GO:0070665	positive regulation of leukocyte proliferation	0.0119978673142069	3	28	1.92089594528458	10.7142857142857	positive regulation of leukocyte proliferation
GO:BP	GO:0046633	alpha-beta T cell proliferation	0.0119978673142069	2	28	1.92089594528458	7.14285714285714	alpha-beta T cell proliferation
REAC	REAC:R-HSA-877300	Interferon gamma signaling	0.0120036266337255	3	21	1.92068752153064	14.2857142857143	Interferon gamma signaling
GO:BP	GO:0009889	regulation of biosynthetic process	0.0124206419368719	16	28	1.90585595790849	57.1428571428571	regulation of biosynthetic process
GO:BP	GO:0043516	regulation of DNA damage response, signal transduction by p53 class mediator	0.0125483706090348	2	28	1.90141266314277	7.14285714285714	regulation of DNA damage response, signal transduction...
GO:BP	GO:0002429	immune response-activating cell surface receptor signaling pathway	0.0125483706090348	4	28	1.90141266314277	14.2857142857143	immune response-activating cell surface receptor signa...
GO:BP	GO:0070887	cellular response to chemical stimulus	0.0126363543407267	9	28	1.89837820438254	32.1428571428572	cellular response to chemical stimulus
GO:BP	GO:0007259	cell surface receptor signaling pathway via JAK-STAT	0.0127671816250953	3	28	1.89390496332856	10.7142857142857	cell surface receptor signaling pathway via JAK-STAT
GO:BP	GO:0002764	immune response-regulating signaling pathway	0.0127671816250953	5	28	1.89390496332856	17.8571428571429	immune response-regulating signaling pathway
GO:BP	GO:0042088	T-helper 1 type immune response	0.0129936292809704	2	28	1.88626952817598	7.14285714285714	T-helper 1 type immune response
GO:BP	GO:0050865	regulation of cell activation	0.0131141105661902	5	28	1.88226115908007	17.8571428571429	regulation of cell activation
GO:BP	GO:0002253	activation of immune response	0.0146490758843399	5	28	1.83418977128192	17.8571428571429	activation of immune response
GO:BP	GO:0002695	negative regulation of leukocyte activation	0.0148425349905865	3	28	1.82849191857164	10.7142857142857	negative regulation of leukocyte activation
GO:BP	GO:0002697	regulation of immune effector process	0.0150769151437305	4	28	1.82168750946799	14.2857142857143	regulation of immune effector process
GO:BP	GO:0032735	positive regulation of interleukin-12 production	0.0151072254635268	2	28	1.8208152892363	7.14285714285714	positive regulation of interleukin-12 production
GO:BP	GO:0097696	cell surface receptor signaling pathway via STAT	0.0151473415148124	3	28	1.81966358278935	10.7142857142857	cell surface receptor signaling pathway via STAT
GO:BP	GO:0002768	immune response-regulating cell surface receptor signaling pathway	0.0156840506613021	4	28	1.80454176354804	14.2857142857143	immune response-regulating cell surface receptor signa...
GO:BP	GO:1903037	regulation of leukocyte cell-cell adhesion	0.0159552021358732	4	28	1.79709768937469	14.2857142857143	regulation of leukocyte cell-cell adhesion
GO:BP	GO:0048585	negative regulation of response to stimulus	0.0161245463438831	8	28	1.79251249518074	28.5714285714286	negative regulation of response to stimulus
GO:BP	GO:2000572	positive regulation of interleukin-4-dependent isotype switching to IgE isotypes	0.0161741189682741	1	28	1.79117936677289	3.57142857142857	positive regulation of interleukin-4-dependent isotype...
GO:BP	GO:1900281	positive regulation of CD4-positive, alpha-beta T cell costimulation	0.0161741189682741	1	28	1.79117936677289	3.57142857142857	positive regulation of CD4-positive, alpha-beta T cell...
GO:BP	GO:0001922	B-1 B cell homeostasis	0.0161741189682741	1	28	1.79117936677289	3.57142857142857	B-1 B cell homeostasis
GO:BP	GO:2000571	regulation of interleukin-4-dependent isotype switching to IgE isotypes	0.0161741189682741	1	28	1.79117936677289	3.57142857142857	regulation of interleukin-4-dependent isotype switchin...
GO:BP	GO:0010557	positive regulation of macromolecule biosynthetic process	0.0161741189682741	10	28	1.79117936677289	35.7142857142857	positive regulation of macromolecule biosynthetic process
GO:BP	GO:0035713	response to nitrogen dioxide	0.0161741189682741	1	28	1.79117936677289	3.57142857142857	response to nitrogen dioxide
GO:BP	GO:0002273	plasmacytoid dendritic cell differentiation	0.0161741189682741	1	28	1.79117936677289	3.57142857142857	plasmacytoid dendritic cell differentiation
GO:BP	GO:0002215	defense response to nematode	0.0161741189682741	1	28	1.79117936677289	3.57142857142857	defense response to nematode
