Gene	SimesP
LUZP1	0.0100862901411885
RNU6-514P	0.0129680873243852
RNU6-135P	0.0129680873243852
HTR1D	0.0120658735628685
RPL29P6	0.00804391570857897
LINC01355	0.0142031357125921
HNRNPR	0.00465307368748888
ZNF436	0.00348980526561666
ZNF436-AS1	0.00348980526561666
TCEA3	0.00407143947655277
ASAP3	0.0229370352978206
E2F2	0.0258218533780702
ID3	0.0301254956077485
MDS2	0.0485022033281065
EEF1A1P48	0.0485022033281065
RPL11	0.0485022033281065
ELOA-AS1	0.0463792849135052
ELOA	0.0337736556671089
MIR378F	0.0314791465266178
H3P1	0.0314791465266178
PNRC2	0.0337316090335248
SRSF10	0.0337316090335248
RPL36P5	0.0350181731410807
MYOM3	0.0383386529452129
MYOM3-AS1	0.0370801196570418
IL22RA1	0.0448829250632129
IFNLR1	0.0374024375526774
GRHL3	0.0200871865333258
LINC02800	0.0283001300218454
GRHL3-AS1	0.0323430057392519
STPG1	0.00419494417323291
NIPAL3	0.0046144385905562
RCAN3AS	0.0060109134271719
RCAN3	0.00769073098426034
NCMAP	0.0112956433683017
SRRM1	0.00230107284613951
CLIC4	0.0313490677644317
RNU6-1208P	0.0366149869578596
RUNX3	0.0381844498559946
MIR6731	0.0359592247886128
RUNX3-AS1	0.0402924542843619
MIR4425	0.04107100768882
LINC02793	0.0411757424989554
IFITM3P7	0.0448406435560928
LDLRAP1	0.00268171665374518
MAN1C1	0.00803936696805152
SELENON	0.0463645711333223
MTFR1L	0.0463645711333223
AUNIP	0.0463645711333223
PAQR7	0.0463645711333223
STMN1	0.0463645711333223
SNRPFP2	0.0463645711333223
MIR3917	0.0246762351077267
PAFAH2	0.02480503367443
RNU6-110P	0.0295298019933691
EXTL1	0.024218757195952
SLC30A2	0.0254396382633397
TRIM63	0.0254396382633397
PDIK1L	0.0116799768648148
FAM110D	0.0341207700271914
C1orf232	0.0470776959915666
ZNF593OS	0.0470776959915666
ZNF593	0.0470776959915666
CNKSR1	0.0470776959915666
CATSPER4	0.039581386690176
ZPLD2P	0.0227002027406205
CEP85	0.0301958281616428
SH3BGRL3	0.0228771116217
UBXN11	0.0249417850304091
CD52	0.0304520351884688
CRYBG2	0.0325092272935361
ZNF683	0.0196719510089026
LIN28A	0.0222843186494002
DHDDS-AS1	0.0351777450919632
DHDDS	0.0351777450919632
RPL17P9	0.0351777450919632
RPS6KA1	0.0485395079477699
MIR1976	0.0485395079477699
RN7SL679P	0.0485395079477699
RNU7-29P	0.0485395079477699
ARID1A	0.0451864975056599
PIGV	0.0428666360703846
RN7SL165P	0.0394468518098481
ZDHHC18	0.0443777082860791
SFN	0.0443777082860791
GPN2	0.0443777082860791
GPN2-AS1	0.0443777082860791
GPATCH3	0.0383087058110911
NUDC	0.0335358067635963
NR0B2	0.0301822260872367
KDF1	0.0235413296777152
RPL12P13	0.00784710989257172
RPL32P6	0.00784710989257172
OSTCP2	0.00784710989257172
TRNP1	0.00784710989257172
TENT5B	0.00784710989257172
SLC9A1	0.0250118491406778
CHCHD3P3	0.0250118491406778
NPM1P39	0.0250118491406778
SNRPEP7	0.0250118491406778
WDTC1-DT	0.0250118491406778
WDTC1	0.041698478783511
TMEM222	0.041698478783511
RNU6-48P	0.041698478783511
ACTG1P20	0.041698478783511
SYTL1	0.041698478783511
MAP3K6	0.041698478783511
FCN3	0.041698478783511
CD164L2	0.041698478783511
GPR3	0.041698478783511
WASF2	0.041698478783511
AHDC1	0.0423454030848094
FGR	0.0235031480551343
LINC02574	0.0195859567126119
IFI6	0.0156687653700895
RNU6-949P	0.0156687653700895
CHMP1AP1	0.00391719134252238
RNU6-424P	0.00783438268504476
FAM76A	0.0467573787592848
RPEP3	0.0467573787592848
STX12	0.0473024908087186
RNU6-1245P	0.0473024908087186
PPP1R8	0.0443520320647264
SCARNA1	0.0443520320647264
THEMIS2	0.0420608590921747
RPA2	0.0380160274840512
SMPDL3B	0.0159047665350382
XKR8	0.0318095330700765
EYA3	0.0469625200050353
RN7SL559P	0.0169931308061411
SPCS2P4	0.0465541502658611
ARL8BP2	0.0471083663404547
RNU6-176P	0.0471083663404547
PTAFR	0.0482775492633148
DNAJC8	0.0482775492633148
ATP5IF1	0.00674472572176813
SESN2	0.00809367086612176
MED18	0.00539578057741451
