pathway	pval	padj	log2err	ES	NES	size	leadingEdge	database
HOWARD_NK_CELL_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_18_49YO_28DY_DN	0.000120497126551369	0.00805745259386917	0.538434096309916	0.855133792764606	2.2182775386102	61	HLA-DQB1|HLA-DRA|HLA-DRB1|HLA-DMB|GABBR1|HLA-DPA1	ImmuneSigDB
KENNEDY_PBMC_DRYVAX_AGE_18_50YO_STIMULATED_VS_UNSTIMULATED_1_TO_48MO_TOP_DEG_UP	4.77805505337757e-05	0.00418656478987324	0.557332238758646	0.926343642985279	2.43234884664128	22	H2BC15|H2AC17|H2BC8|H2AC8|H4C5|H1-3|H1-4|H4C8|H4C3|HSPA6	ImmuneSigDB
LI_PBMC_MENACTRA_AGE_18_45YO_ANTI_POLYSACCHARIDE_ANTIBODY_CORRELATION_PROFILE_3DY_UP	0.000248461753354618	0.0131152648149704	0.49849310876659	0.895712007540206	2.36147153885765	31	C2|AIF1|TNF	ImmuneSigDB
LI_PBMC_MENACTRA_AGE_18_45YO_CORRELATED_WITH_ANTI_DT_ANTIBODY_3DY_NEGATIVE	2.78258178965533e-05	0.00294605846979758	0.575610261071129	0.92190042059805	2.40446710025496	25	HLA-DQA1|HLA-B|HLA-DMA|STAT4|IL1RN|ICAM1	ImmuneSigDB
LI_PBMC_MENACTRA_AGE_18_45YO_CORRELATED_WITH_ANTI_DT_ANTIBODY_3DY_POSITIVE	1.59926282005174e-09	2.12592085601572e-06	0.788186810800237	0.94256825152599	2.45314806711773	36	AGPAT1|HLA-DQB1|HLA-DRA|HLA-C|HLA-DRB1|HLA-DMB|HLA-G|HLA-A|HLA-DPA1|HLA-DPB1	ImmuneSigDB
LI_PBMC_MENACTRA_AGE_18_45YO_CORRELATED_WITH_ANTI_POLYSACCHARIDE_ANTIBODY_3DY_NEGATIVE	0.000267708790586313	0.0136049607375964	0.49849310876659	0.921640849915879	2.40405867147395	18	HLA-DQB1|HLA-C|STAT4|ITPR3|WDFY4	ImmuneSigDB
LI_PBMC_MENACTRA_AGE_18_45YO_CORRELATED_WITH_ANTI_POLYSACCHARIDE_ANTIBODY_3DY_POSITIVE	8.50092233062497e-11	4.32016872842361e-07	0.839088935621274	0.927488506363729	2.4227389948959	55	HLA-DQA1|HLA-B|HLA-DRA|TNF|HLA-DRB1|HLA-DMA|HLA-E|HLA-F|HLA-G|IL1RN|HLA-A|HLA-DPA1|HLA-DPB1|ICAM1|RGL1	ImmuneSigDB
LI_PBMC_MENOMUNE_A_C_Y_W_135_AGE_18_45YO_3DY_UP	0.000154854399872823	0.00953332110745614	0.518848077743792	0.898142771633261	2.37979919478823	29	CFB|C2|TNF|LAMC2	ImmuneSigDB
LI_PBMC_MENOMUNE_A_C_Y_W_135_AGE_18_45YO_CORRELATED_WITH_ANTIBODY_RESPONSE_3DY_POSITIVE	6.9242243113945e-10	1.75944539752534e-06	0.801215574617779	0.935517428940959	2.40087748698266	42	HLA-DQB1|HLA-DRA|HLA-C|TNF|HLA-DRB1|HLA-DMA|HLA-E|HLA-G|HLA-A|HLA-DPA1|HLA-DPB1|ICAM1|WDFY4	ImmuneSigDB
MATSUMIYA_PBMC_MODIFIED_VACCINIA_ANKARA_VACCINE_AGE_18_55YO_VACCINATED_VS_CONTROL_TREATED_IN_VITRO_WITH_MVA85A_6HR_UP	0.00135078897521133	0.0477497530206509	0.45505986738723	0.784935954670873	2.01691856064782	86	DDR1|IER3|NCF2|OR12D3|IL1RN|ITGAX|COL11A2|H4C4	ImmuneSigDB
